question,answer
có thưởng tết không,có
quê mày ở đâu,đà_nẵng
bạn thích chơi môn thể_thao nào,mình thích chơi bóng_đá
gia_đình cậu có sống ở thành_phố hồ chí minh không,gia_đình tớ đang ở cùng tớ
nếu có người_yêu thì việc đầu_tiên bạn làm là gì,mình sẽ dẫn người_yêu đi xem phim
không dô thích dách,dách được thì dách
ở được bao_nhiêu người,tối_đa 4
mua bắp nước không,lấy combo hai người đi
bạn học yếu môn nào nhất ở trường,môn văn vở
ê mày,hả
như thế_nào là sao,ý là cảm_xúc vị_trí thái_độ của đồng_nghiệp á mày
thích loại phim gì,nhiều loại lắm
ngày_mai bạn rảnh thì đi xem phim với mình nhé,ngày_mai mình bận học rồi
có,thích chơi bóng_rổ hay thích chơi game
bạn có khuynh_hướng thích những mảng nào,mình thích những thứ đẹp_đẽ và thiên về màu_sắc nhiều
có chỗ gửi xe không,có
bạn học thế_nào,giỏi
một chuyến du_lịch tại đà lạt bạn nghĩ sao,oh tuyệt_vời mình rất thích đi đà_lạt
bạn thường làm gì trong thời_gian rảnh,ngủ
mua cá_chép chưa,rồi
alo,nghe nè
bạn đi xem phim với tui không,bạn chơi gay không
bạn có hay đi chơi với bạn của mình không,tôi cũng thường đi chơi với bạn mình lắm
mày đang ở trọ à,ờ
robot vậy bạn có biết tôi là ai không,tất_nhiên bạn là còn người
làm_việc gì,quản_lý quán
điểm rèn_luyện,cần để xét tốt_nghiệp
có những điểm tham_quan du_lịch nào vậy,kinh_thành huế chùa thiên_mụ
đi du_lịch ở cà_mau,chưa
chào lan,ủa ngọc cậu đi đâu_đây
sở_thích của bạn là gì,đọc sách nha
sinh_hoạt chung có tiện không mày,tùy mày ăn_ở đã
gia_đình bạn có bao_nhiêu thành_viên,gia_đình mình có 6 thành_viên
nhiều bạn vui hay buồn,nhiều bạn hơi chán
chọn gà hay trứng,chọn mày
à thế sao mà à,ờ
bạn thích nghề nào,mình muốn làm data science
lương mày cao không,không cao lắm đủ xài à
